S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        113,,MFIL,,,                                        518.00,,                                        3.20,,                                        0.62,,                                        514.90,,                                        523.00,,                                        514.90,,"                                        13,896.00",,                                        514.80,
,                                        114,,MHCL,,,                                        169.50,,                                        -3.50,,                                        -2.02,,                                        171.00,,                                        178.00,,                                        169.50,,"                                        6,553.00",,                                        173.00,
,                                        115,,MHL,,,                                        279.90,,                                        0.00,,                                        0.00,,                                        274.50,,                                        287.90,,                                        271.00,,"                                        1,400.00",,                                        279.90,
,                                        116,,MHNL,,,                                        190.00,,                                        -4.00,,                                        -2.06,,                                        190.30,,                                        197.50,,                                        189.00,,"                                        23,326.00",,                                        194.00,
,                                        117,,MKHC,,,                                        198.00,,                                        -2.10,,                                        -1.05,,                                        198.00,,                                        204.50,,                                        197.00,,"                                        7,290.00",,                                        200.10,
,                                        118,,MKHL,,,                                        254.00,,                                        -3.00,,                                        -1.17,,                                        255.00,,                                        265.00,,                                        250.00,,"                                        4,403.00",,                                        257.00,
,                                        119,,MKJC,,,                                        344.00,,                                        7.00,,                                        2.08,,                                        337.00,,                                        344.00,,                                        333.00,,                                        955.00,,                                        337.00,
,                                        120,,MKLB,,,                                        725.00,,                                        -10.00,,                                        -1.36,,                                        721.00,,                                        725.00,,                                        695.00,,                                        397.00,,                                        735.00,
,                                        121,,MLBBL,,,                                        835.00,,                                        -1.90,,                                        -0.23,,                                        837.00,,                                        837.00,,                                        820.30,,                                        64.00,,                                        836.90,
,                                        122,,MLBL,,,                                        322.00,,                                        2.40,,                                        0.75,,                                        322.00,,                                        325.80,,                                        316.10,,"                                        14,403.00",,                                        319.60,
,                                        123,,MLBS,,,                                        677.00,,                                        -3.00,,                                        -0.44,,                                        690.00,,                                        690.00,,                                        677.00,,                                        80.00,,                                        680.00,
,                                        124,,MLBSL,,,"                                        1,922.70",,                                        22.70,,                                        1.19,,"                                        1,900.00",,"                                        1,922.70",,"                                        1,880.00",,                                        307.00,,"                                        1,900.00",
,                                        125,,MMF1,,,                                        7.20,,                                        0.03,,                                        0.42,,                                        7.08,,                                        7.22,,                                        7.08,,"                                        9,000.00",,                                        7.17,
,                                        126,,MMFDB,,,                                        624.70,,                                        9.70,,                                        1.58,,                                        610.00,,                                        624.70,,                                        602.70,,"                                        2,204.00",,                                        615.00,
,                                        127,,MNBBL,,,                                        396.00,,                                        0.00,,                                        0.00,,                                        400.00,,                                        400.90,,                                        395.00,,"                                        14,091.00",,                                        396.00,
,                                        128,,MPFL,,,                                        299.00,,                                        4.00,,                                        1.36,,                                        300.90,,                                        310.00,,                                        297.00,,"                                        10,816.00",,                                        295.00,
,                                        129,,MSLB,,,                                        750.00,,                                        20.00,,                                        2.74,,                                        744.00,,                                        768.00,,                                        735.00,,"                                        1,313.00",,                                        730.00,
,                                        130,,NABBC,,,                                        394.80,,                                        -8.00,,                                        -1.99,,                                        401.00,,                                        401.00,,                                        394.80,,                                        60.00,,                                        402.80,
,                                        131,,NABIL,,,                                        593.00,,                                        1.00,,                                        0.17,,                                        602.50,,                                        602.70,,                                        592.00,,"                                        32,425.00",,                                        592.00,
,                                        132,,NADEP,,,                                        542.00,,                                        10.00,,                                        1.88,,                                        531.90,,                                        542.00,,                                        523.20,,"                                        1,125.00",,                                        532.00,
,                                        133,,NBF2,,,                                        8.85,,                                        0.17,,                                        1.96,,                                        8.85,,                                        8.85,,                                        8.85,,                                        375.00,,                                        8.68,
,                                        134,,NBF3,,,                                        7.17,,                                        0.05,,                                        0.70,,                                        7.06,,                                        7.20,,                                        7.06,,"                                        8,560.00",,                                        7.12,
,                                        135,,NBL,,,                                        252.90,,                                        0.90,,                                        0.36,,                                        255.90,,                                        255.90,,                                        251.30,,"                                        21,615.00",,                                        252.00,
,                                        136,,NBLD85,,,                                        790.00,,                                        -1.00,,                                        -0.13,,                                        790.00,,                                        790.00,,                                        790.00,,                                        25.00,,                                        791.00,
,                                        137,,NEF,,,                                        9.75,,                                        0.27,,                                        2.85,,                                        9.60,,                                        9.75,,                                        9.60,,"                                        85,441.00",,                                        9.48,
,                                        138,,NESDO,,,"                                        1,870.00",,                                        4.00,,                                        0.21,,"                                        1,866.00",,"                                        1,890.00",,"                                        1,865.00",,"                                        1,128.00",,"                                        1,866.00",
,                                        139,,NFS,,,                                        310.00,,                                        2.00,,                                        0.65,,                                        314.00,,                                        314.20,,                                        308.00,,"                                        18,005.00",,                                        308.00,
,                                        140,,NGPL,,,                                        204.90,,                                        -1.60,,                                        -0.77,,                                        208.30,,                                        209.40,,                                        204.00,,"                                        32,073.00",,                                        206.50,
,                                        141,,NHDL,,,                                        347.00,,                                        -6.00,,                                        -1.70,,                                        360.00,,                                        360.00,,                                        346.00,,"                                        2,788.00",,                                        353.00,
,                                        142,,NHPC,,,                                        151.80,,                                        -0.20,,                                        -0.13,,                                        152.00,,                                        155.00,,                                        150.50,,"                                        32,409.00",,                                        152.00,
,                                        143,,NIBD2082,,,                                        971.50,,                                        19.00,,                                        1.99,,                                        971.50,,                                        971.50,,                                        971.50,,                                        509.00,,                                        952.50,
,                                        144,,NIBLGF,,,                                        7.80,,                                        0.03,,                                        0.39,,                                        7.64,,                                        7.91,,                                        7.64,,"                                        20,303.00",,                                        7.77,
,                                        145,,NIBSF2,,,                                        7.05,,                                        -0.21,,                                        -2.89,,                                        7.26,,                                        7.40,,                                        7.05,,"                                        5,200.00",,                                        7.26,
,                                        146,,NICA,,,                                        781.90,,                                        -3.10,,                                        -0.39,,                                        785.00,,                                        797.00,,                                        778.00,,"                                        27,752.00",,                                        785.00,
,                                        147,,NICBF,,,                                        9.17,,                                        -0.18,,                                        -1.93,,                                        9.17,,                                        9.17,,                                        9.17,,                                        100.00,,                                        9.35,
,                                        148,,NICFC,,,                                        8.22,,                                        0.01,,                                        0.12,,                                        8.17,,                                        8.33,,                                        8.17,,"                                        1,300.00",,                                        8.21,
,                                        149,,NICGF,,,                                        10.06,,                                        -0.09,,                                        -0.89,,                                        10.34,,                                        10.34,,                                        10.06,,                                        425.00,,                                        10.15,
,                                        150,,NICL,,,                                        784.00,,                                        6.00,,                                        0.77,,                                        785.00,,                                        799.90,,                                        778.00,,"                                        19,664.00",,                                        778.00,
,                                        151,,NICLBSL,,,                                        676.60,,                                        15.60,,                                        2.36,,                                        653.00,,                                        683.00,,                                        653.00,,"                                        8,700.00",,                                        661.00,
,                                        152,,NICSF,,,                                        8.22,,                                        0.04,,                                        0.49,,                                        8.30,,                                        8.34,,                                        8.22,,"                                        7,300.00",,                                        8.18,
,                                        153,,NIFRA,,,                                        204.90,,                                        -1.00,,                                        -0.49,,                                        205.00,,                                        208.00,,                                        204.20,,"                                        61,223.00",,                                        205.90,
,                                        154,,NIL,,,                                        858.00,,                                        0.00,,                                        0.00,,                                        855.00,,                                        869.00,,                                        855.00,,"                                        4,947.00",,                                        858.00,
